ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
1.0,4.0,10.0,30.0,10.0,0.7171368859708309,0.06618063745115002
1.0,8.0,2.0,1.0,3.0,1.1507104218006134,-0.016842031485845153
1.0,8.0,2.0,1.0,10.0,1.1493490248918534,-0.03875463065599572
1.0,8.0,2.0,3.0,3.0,1.1507035315036773,-0.01681828263150088
1.0,8.0,2.0,3.0,10.0,1.149348895251751,-0.0387575972854815
1.0,8.0,2.0,10.0,3.0,1.0802466198801994,-0.026370852739729587
1.0,8.0,2.0,10.0,10.0,1.0801831565797329,-0.05505836774540022
1.0,8.0,2.0,30.0,3.0,0.8500137612223625,-0.013191733376908214
1.0,8.0,2.0,30.0,10.0,0.8537175631150603,-0.014099526091217755
1.0,8.0,5.0,1.0,3.0,1.1390556409955024,-0.1605288678276305
1.0,8.0,5.0,1.0,10.0,1.1378407716751098,-0.1238789627566028
1.0,8.0,5.0,3.0,3.0,1.1386323124170303,-0.16286260699579658
1.0,8.0,5.0,3.0,10.0,1.137376530468464,-0.10991855809910948
1.0,8.0,5.0,10.0,3.0,1.091929130256176,-0.24699395349101985
1.0,8.0,5.0,10.0,10.0,1.1054157182574271,-0.1454742020528457
1.0,8.0,5.0,30.0,3.0,0.7467153787612915,-0.16886890945569102
1.0,8.0,5.0,30.0,10.0,0.7564403705298901,-0.1629914229605013
1.0,8.0,10.0,1.0,3.0,1.0925817131996154,-0.15521316047979136
1.0,8.0,10.0,1.0,10.0,1.092189447581768,-0.13145283923299536
1.0,8.0,10.0,3.0,3.0,1.0896695911884309,-0.1566241986513376
1.0,8.0,10.0,3.0,10.0,1.089720194041729,-0.13415869856904789
1.0,8.0,10.0,10.0,3.0,0.9962402701377868,-0.17080001514187396
1.0,8.0,10.0,10.0,10.0,1.0116918087005615,-0.1542908934656623
1.0,8.0,10.0,30.0,3.0,0.6944970048964023,-0.17928194951500243
1.0,8.0,10.0,30.0,10.0,0.7042258001863957,-0.16418164102552052
1.0,16.0,2.0,1.0,3.0,1.1519316345453263,0.0010694662066681423
1.0,16.0,2.0,1.0,10.0,1.1499045312404632,-0.01325334345623972
1.0,16.0,2.0,3.0,3.0,1.1519346415996552,0.0008508548615455472
1.0,16.0,2.0,3.0,10.0,1.1499055564403533,-0.013345462355969097
1.0,16.0,2.0,10.0,3.0,1.035677793622017,0.016158855252788977
1.0,16.0,2.0,10.0,10.0,1.0806513234972954,-0.013459196333972832
1.0,16.0,2.0,30.0,3.0,0.9965868063271046,0.02453719579018019
1.0,16.0,2.0,30.0,10.0,1.0053446412086486,-0.03238054196965975
1.0,16.0,5.0,1.0,3.0,1.1466157406568527,-0.06787764360697812
1.0,16.0,5.0,1.0,10.0,1.139716884493828,-0.1575494139609065
1.0,16.0,5.0,3.0,3.0,1.145742866396904,-0.07656592191228306
1.0,16.0,5.0,3.0,10.0,1.1394262671470643,-0.16014682264614613
1.0,16.0,5.0,10.0,3.0,1.0144378036260604,-0.08645955582645115
1.0,16.0,5.0,10.0,10.0,1.0616808012127876,-0.19079877652656319
1.0,16.0,5.0,30.0,3.0,0.8366736903786659,0.022370728286690848
1.0,16.0,5.0,30.0,10.0,0.8750142216682434,-0.09575385806702934
1.0,16.0,10.0,1.0,3.0,1.1078195422887802,-0.17028767328930972
1.0,16.0,10.0,1.0,10.0,1.1066339612007141,-0.15465750953550764
1.0,16.0,10.0,3.0,3.0,1.1062411218881607,-0.17159380038602548
1.0,16.0,10.0,3.0,10.0,1.1050464332103729,-0.14939943543385995
1.0,16.0,10.0,10.0,3.0,1.0146013617515564,-0.25087913681348867
1.0,16.0,10.0,10.0,10.0,1.0368612617254258,-0.2531260294578208
1.0,16.0,10.0,30.0,3.0,0.7332410015165806,-0.1193010070703048
1.0,16.0,10.0,30.0,10.0,0.7505347765982151,-0.1131565079243258
-1.0,0.5,2.0,1.0,3.0,0.8646983653306961,-1.1253218866420038
-1.0,0.5,2.0,1.0,10.0,0.8646304607391357,-1.1246471838144958
-1.0,0.5,2.0,3.0,3.0,0.8789995193481446,-0.8870485994741854
-1.0,0.5,2.0,3.0,10.0,0.8790362656116486,-0.8864049798422464
-1.0,0.5,2.0,10.0,3.0,0.9155489653348923,-0.728787621066739
-1.0,0.5,2.0,10.0,10.0,0.9156070590019226,-1.0136517426794558
-1.0,0.5,2.0,30.0,3.0,0.9291887074708939,0.6102814831831397
-1.0,0.5,2.0,30.0,10.0,0.929226216673851,0.610903141072442
-1.0,0.5,5.0,1.0,3.0,0.801428173482418,-0.4332629738808305
-1.0,0.5,5.0,1.0,10.0,0.8007285669445992,-0.43222316484358264
-1.0,0.5,5.0,3.0,3.0,0.7969456911087036,-0.9748876660455935
-1.0,0.5,5.0,3.0,10.0,0.7961224108934403,-0.7741178957999059
-1.0,0.5,5.0,10.0,3.0,0.7911419287323952,-0.6555607976980998
-1.0,0.5,5.0,10.0,10.0,0.7901163086295128,-0.45471267585893144
-1.0,0.5,5.0,30.0,3.0,0.7924335658550262,0.1506562783892673
-1.0,0.5,5.0,30.0,10.0,0.7916470065712928,0.1517461800571481
-1.0,0.5,10.0,1.0,3.0,0.6355335846543312,-0.05876215751570282
-1.0,0.5,10.0,1.0,10.0,0.6333189487457276,-0.05612181933898544
-1.0,0.5,10.0,3.0,3.0,0.667814590036869,-0.14207665384207024
-1.0,0.5,10.0,3.0,10.0,0.6661860883235932,-0.08593184861015365
-1.0,0.5,10.0,10.0,3.0,0.662058649212122,-0.10231118845514166
-1.0,0.5,10.0,10.0,10.0,0.660731490701437,-0.1003660995378382
