ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
-1.0,0.75,10.0,100.0,10.0,0.63078473508358,-0.1642008555950048
-1.0,0.75,10.0,300.0,10.0,0.6356218710541726,-0.174373661939826
-1.0,0.75,20.0,3.0,10.0,0.5211517926305532,0.000504026194168905
-1.0,0.75,20.0,10.0,10.0,0.515255355834961,-0.007760976333983846
-1.0,0.75,20.0,30.0,10.0,0.517126651108265,-0.015578268968126857
-1.0,0.75,20.0,100.0,10.0,0.5225302625447512,-0.018737799401079627
-1.0,0.75,20.0,300.0,10.0,0.5238190121948719,-0.02468627222806451
-1.0,1.0,10.0,3.0,10.0,0.5343287698924541,-0.00010483410751848029
-1.0,1.0,10.0,10.0,10.0,0.580531469732523,-0.034643561469085295
-1.0,1.0,10.0,30.0,10.0,0.5893802769482136,-0.05515519158494989
-1.0,1.0,10.0,100.0,10.0,0.5989837698638439,-0.13786146672008737
-1.0,1.0,10.0,300.0,10.0,0.6081448756158352,-0.07523141063502498
-1.0,1.0,20.0,3.0,10.0,0.5214881379157305,0.005646323981706128
-1.0,1.0,20.0,10.0,10.0,0.5156459249556065,-0.001128255054154571
-1.0,1.0,20.0,30.0,10.0,0.5128764977678657,-0.005213831283043259
-1.0,1.0,20.0,100.0,10.0,0.514547111839056,-0.007942257627555745
-1.0,1.0,20.0,300.0,10.0,0.5152795173227787,-0.014047578483699849
-1.0,1.5,10.0,3.0,10.0,0.49756094329059125,0.03921983843924723
-1.0,1.5,10.0,10.0,10.0,0.4774031240493059,0.028470687029129905
-1.0,1.5,10.0,30.0,10.0,0.5003165859729052,-0.03556869422893063
-1.0,1.5,10.0,100.0,10.0,0.5245497789233923,-0.0740804379476137
-1.0,1.5,10.0,300.0,10.0,0.5340544991195202,-0.08265016537220787
-1.0,1.5,20.0,3.0,10.0,0.5158966088667511,0.016284572876190784
-1.0,1.5,20.0,10.0,10.0,0.5169658821076155,0.011470457559209989
-1.0,1.5,20.0,30.0,10.0,0.5155972952023149,0.009881849102099062
-1.0,1.5,20.0,100.0,10.0,0.5157548533752561,0.008956456079759268
-1.0,1.5,20.0,300.0,10.0,0.5171915905550122,0.006875860200154743
-1.0,2.0,10.0,3.0,10.0,0.562888827174902,6.26640109663861e-05
-1.0,2.0,10.0,10.0,10.0,0.5460112076252699,-0.016236779195276975
-1.0,2.0,10.0,30.0,10.0,0.4942886184900999,-0.07571005575871895
-1.0,2.0,10.0,100.0,10.0,0.5072421617805958,-0.12007117231581596
-1.0,2.0,10.0,300.0,10.0,0.5084609538316727,-0.13887446249037333
-1.0,2.0,20.0,3.0,10.0,0.48553734458982944,0.019717735090341495
-1.0,2.0,20.0,10.0,10.0,0.510722304135561,0.020549844508902047
-1.0,2.0,20.0,30.0,10.0,0.5119018107652664,0.022338510183297713
-1.0,2.0,20.0,100.0,10.0,0.5131293796002865,0.02096308035020753
-1.0,2.0,20.0,300.0,10.0,0.514366876706481,0.01988372407110651
-1.0,3.0,10.0,3.0,10.0,0.6322797607630491,-0.05470352181370574
-1.0,3.0,10.0,10.0,10.0,0.6473235907033086,-0.24099001255382738
-1.0,3.0,10.0,30.0,10.0,0.5773007616400718,0.05675338654756799
-1.0,3.0,10.0,100.0,10.0,0.5132459996268153,-0.013779217008065382
-1.0,3.0,10.0,300.0,10.0,0.5233805486932397,-0.042761935461058206
-1.0,3.0,20.0,3.0,10.0,0.5188137449324131,0.016507060367718283
-1.0,3.0,20.0,10.0,10.0,0.5071464736014605,0.03051730520878013
-1.0,3.0,20.0,30.0,10.0,0.49303884878754617,-0.005017744229733131
-1.0,3.0,20.0,100.0,10.0,0.5006309241056442,-0.023314362545547987
-1.0,3.0,20.0,300.0,10.0,0.5041885931044817,-0.02671380805874682
