ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
-1.0,2.0,5.0,1.0,10.0,0.7846604995429516,-0.11253293032156862
-1.0,2.0,5.0,3.0,10.0,0.7813629075884819,-0.11036736420841153
-1.0,2.0,5.0,10.0,10.0,0.7685981696471572,-0.09913090173806126
-1.0,2.0,5.0,30.0,10.0,0.7790410097688436,-0.09309091049073172
-1.0,2.0,5.0,100.0,10.0,0.7837303135544061,-0.0922383476635402
-1.0,2.0,10.0,1.0,10.0,0.6360849641263485,-0.0961514153610687
-1.0,2.0,10.0,3.0,10.0,0.6257554948329925,0.031070010643360235
-1.0,2.0,10.0,10.0,10.0,0.6070503294467926,0.034932570353329064
-1.0,2.0,10.0,30.0,10.0,0.6189097814261914,0.039159690263899975
-1.0,2.0,10.0,100.0,10.0,0.6249575056135654,-0.08085559330234444
-1.0,2.0,20.0,1.0,10.0,0.5182015281170607,0.010670524677839415
-1.0,2.0,20.0,3.0,10.0,0.5093788105994463,0.0060235455830112816
-1.0,2.0,20.0,10.0,10.0,0.4990711506456137,0.00724998134748789
-1.0,2.0,20.0,30.0,10.0,0.5006297219544649,0.017939274714490337
-1.0,2.0,20.0,100.0,10.0,0.5023633599281311,0.019766385982154626
-1.0,4.0,2.0,1.0,10.0,0.9154279299080372,-0.12000636966631271
-1.0,4.0,2.0,3.0,10.0,0.9154144786298275,-0.1200327504028741
-1.0,4.0,2.0,10.0,10.0,0.9147283181548118,-0.12062092626808119
-1.0,4.0,2.0,30.0,10.0,0.9125563059002161,-0.12219399215772933
-1.0,4.0,2.0,100.0,10.0,0.9125584725290536,-0.12046720340830397
-1.0,4.0,5.0,1.0,10.0,0.8976765520870685,-0.2115059507754219
-1.0,4.0,5.0,3.0,10.0,0.8990510664880276,-0.23150550171434695
-1.0,4.0,5.0,10.0,10.0,0.8990824364125729,-0.23770701532164262
-1.0,4.0,5.0,30.0,10.0,0.8957124054431915,-0.21845691489748673
-1.0,4.0,5.0,100.0,10.0,0.8956194840371609,-0.2141960193123968
-1.0,4.0,10.0,1.0,10.0,0.8016901090741158,-0.09555547059870292
-1.0,4.0,10.0,3.0,10.0,0.8068085514008999,-0.09469281027084807
-1.0,4.0,10.0,10.0,10.0,0.810288256406784,-0.09276886963381853
-1.0,4.0,10.0,30.0,10.0,0.8092229396104813,-0.09010417530458097
-1.0,4.0,10.0,100.0,10.0,0.8092202730476856,-0.08906536660049728
-1.0,4.0,20.0,1.0,10.0,0.6487446755170823,-0.07424911822759617
-1.0,4.0,20.0,3.0,10.0,0.6512354135513305,-0.07446633439019769
-1.0,4.0,20.0,10.0,10.0,0.6544251792132855,-0.07460989915856928
-1.0,4.0,20.0,30.0,10.0,0.6517906680703163,-0.07450123079164915
-1.0,4.0,20.0,100.0,10.0,0.6509410455822945,-0.07435004511555897
-1.0,8.0,2.0,1.0,10.0,0.9167600810527802,-0.11349416176575751
-1.0,8.0,2.0,3.0,10.0,0.916758581995964,-0.11349407227652136
-1.0,8.0,2.0,10.0,10.0,0.9167478151619435,-0.11366132085079678
-1.0,8.0,2.0,30.0,10.0,0.9166641414165497,-0.11468041303326072
-1.0,8.0,2.0,100.0,10.0,0.9165164507925511,-0.11391642549382912
-1.0,8.0,5.0,1.0,10.0,0.9085001327097416,-0.1374524288401752
-1.0,8.0,5.0,3.0,10.0,0.9087305031716824,-0.138432580143312
-1.0,8.0,5.0,10.0,10.0,0.9089171133935452,-0.13820505959294005
-1.0,8.0,5.0,30.0,10.0,0.9088658548891544,-0.13920184994962725
-1.0,8.0,5.0,100.0,10.0,0.9086508750915527,-0.13935288809588817
-1.0,8.0,10.0,1.0,10.0,0.8518658861517906,-0.0731205088057328
-1.0,8.0,10.0,3.0,10.0,0.8559795744717121,-0.07668308786254775
-1.0,8.0,10.0,10.0,10.0,0.8610937237739563,-0.08421306349120815
-1.0,8.0,10.0,30.0,10.0,0.8637390561401844,-0.08673701244402846
-1.0,8.0,10.0,100.0,10.0,0.8646585017442703,-0.08587965039317873
-1.0,8.0,20.0,1.0,10.0,0.7306503124535084,-0.07907569874496737
-1.0,8.0,20.0,3.0,10.0,0.7368510529398918,-0.07751191178827459
-1.0,8.0,20.0,10.0,10.0,0.7447880722582341,-0.07639705311038983
-1.0,8.0,20.0,30.0,10.0,0.7496418587863445,-0.07529883115380417
-1.0,8.0,20.0,100.0,10.0,0.7514928609132767,-0.07514071723425025
-1.0,16.0,2.0,1.0,10.0,0.9168313346803189,-0.10641588120879986
-1.0,16.0,2.0,3.0,10.0,0.9168381795287133,-0.10619857435731016
-1.0,16.0,2.0,10.0,10.0,0.9168386965990066,-0.10614933957823605
-1.0,16.0,2.0,30.0,10.0,0.9167873539030552,-0.10699678057306539
-1.0,16.0,2.0,100.0,10.0,0.9167196914553642,-0.10635744076161673
-1.0,16.0,5.0,1.0,10.0,0.9091138482093811,-0.1342454606040586
-1.0,16.0,5.0,3.0,10.0,0.9092052809894084,-0.13419291810516693
-1.0,16.0,5.0,10.0,10.0,0.9092747956514359,-0.13430148701303224
-1.0,16.0,5.0,30.0,10.0,0.909258521348238,-0.13514481199874742
-1.0,16.0,5.0,100.0,10.0,0.9090578265488147,-0.13510259341631545
-1.0,16.0,10.0,1.0,10.0,0.8729371510446071,-0.07367754091982621
-1.0,16.0,10.0,3.0,10.0,0.875603225082159,-0.08506349376863477
-1.0,16.0,10.0,10.0,10.0,0.8787977308034897,-0.09243080799700931
-1.0,16.0,10.0,30.0,10.0,0.8800654493272304,-0.09844510896271341
-1.0,16.0,10.0,100.0,10.0,0.8803741917014122,-0.1012932317416307
-1.0,16.0,20.0,1.0,10.0,0.7783041201531887,-0.06655186583854453
-1.0,16.0,20.0,3.0,10.0,0.7842257507145405,-0.06613751464042272
-1.0,16.0,20.0,10.0,10.0,0.792845456302166,-0.06668386650758419
-1.0,16.0,20.0,30.0,10.0,0.7987833142280578,-0.0686761210355531
-1.0,16.0,20.0,100.0,10.0,0.8025926932692528,-0.06881978143886489
