label,held_out_loss,slope,anchor_err_deg,n_epochs,seed,hold_prob,sign_reg,anchor,max_av,ring_source,ring_sign,activation,type_params,real_sign_control,control_shuffle_seed,control_swap_fraction,control_type_mask,frac_edges_changed,recurrent_gain,tau,in_gain,cue_gain,mean_abs_sign,frac_polarized_gt_0.9
sigm_shuf1_p,0.5364346884191036,0.06064484924375447,5.608990698264782,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,sigmoid,True,True,1.0,,,0.4985807860262009,2.0,10.0,10.0,10.0,1.0,1.0
sigm_shuf2_p,0.6622606380532186,0.26832635609172045,5.824496038550424,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,sigmoid,True,True,2.0,,,0.4318777292576419,2.0,10.0,10.0,10.0,1.0,1.0
sigm_shuf3_p,0.5714100112517675,-0.04452194122606176,10.919309319251562,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,sigmoid,True,True,3.0,,,0.4135371179039301,2.0,10.0,10.0,10.0,1.0,1.0
sigm_shuf4_p,0.9551855782667796,-0.08839879821222092,5.301467162062895,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,sigmoid,True,True,4.0,,,0.3531659388646288,2.0,10.0,10.0,10.0,1.0,1.0
signreg05_seed0,0.5924543569485347,,,1000,0,0.3,0.05,,,,,,,,,,,,4.0,5.0,,,0.7936394214630127,0.5784934759140015
signreg05_seed1,0.7231645142038663,,,1000,1,0.3,0.05,,,,,,,,,,,,4.0,5.0,,,0.7182796597480774,0.3703056871891022
signreg05_seed2,0.602767730752627,,,1000,2,0.3,0.05,,,,,,,,,,,,4.0,5.0,,,0.6055814027786255,0.2680130898952484
signreg05_seed3,0.5820419455567996,,,1000,3,0.3,0.05,,,,,,,,,,,,4.0,5.0,,,0.43911176919937134,0.08810043334960938
signreg05_seed4,0.7147755692402522,,,1000,4,0.3,0.05,,,,,,,,,,,,4.0,5.0,,,0.592743456363678,0.22401747107505798
signreg05_seed5,0.6387662217020988,,,1000,5,0.3,0.05,,,,,,,,,,,,4.0,5.0,,,0.7393713593482971,0.5196506381034851
signreg05_seed6,0.5957350691159566,,,1000,6,0.3,0.05,,,,,,,,,,,,4.0,5.0,,,0.8384833931922913,0.6911572217941284
signreg05_seed7,0.5986504385868708,,,1000,7,0.3,0.05,,,,,,,,,,,,4.0,5.0,,,0.7686360478401184,0.5169214010238647
tps16_seed0,0.5085640867551168,,,1000,0,,,,,,,,,,,,,,4.0,5.0,,,0.30828404426574707,0.014519650489091873
tps16_seed1,0.4967131271958351,,,1000,1,,,,,,,,,,,,,,4.0,5.0,,,0.3119080364704132,0.003056768560782075
tps16_seed2,0.5005013704299927,,,1000,2,,,,,,,,,,,,,,4.0,5.0,,,0.3002382516860962,0.004148471634835005
tps32_seed0,0.5008761207262675,,,1000,0,,,,,,,,,,,,,,4.0,5.0,,,0.3334727883338928,0.041375547647476196
tps32_seed1,0.5011285295089086,,,1000,1,,,,,,,,,,,,,,4.0,5.0,,,0.2868686616420746,0.0009825327433645725
tps32_seed2,0.49289316932360333,,,1000,2,,,,,,,,,,,,,,4.0,5.0,,,0.3814464509487152,0.02729257568717003
